"","manufacturer_name","color","odometer_value","year_produced","engine_capacity","body_type","price_usd","number_of_photos","duration_listed"
"1","Subaru","silver",190000,2010,2.5,"universal",10900,9,16
"2","Subaru","blue",290000,2002,3,"universal",5000,12,83
"3","Subaru","red",402000,2001,2.5,"suv",2800,4,151
"4","Subaru","blue",10000,1999,3,"sedan",9999,9,86
"5","Subaru","black",280000,2001,2.5,"universal",2134.11,14,7
"6","Subaru","silver",132449,2011,2.5,"universal",14700,20,67
"7","Subaru","black",318280,1998,2.5,"universal",3000,8,307
"8","Subaru","silver",350000,2004,2.5,"sedan",4500,7,73
"9","Subaru","grey",179000,2010,2.5,"universal",12900,17,87
"10","Subaru","silver",571317,1999,2.5,"universal",4200,8,43
"11","Subaru","other",280000,2003,2,"suv",6900,14,11
"12","Subaru","grey",256000,2008,3.6,"suv",8350,18,80
"13","Subaru","other",321000,2002,2,"suv",4300,13,2
"14","Subaru","red",49999,2001,1.3,"hatchback",1666,8,230
"15","Subaru","brown",154685,2011,2.5,"universal",8600,24,63
"16","Subaru","black",163219,2004,2,"universal",7300,17,35
"17","Subaru","other",318650,2005,3,"universal",7587.97,7,468
"18","Subaru","blue",191000,2005,2,"sedan",10950,12,21
"19","Subaru","silver",179000,2014,2,"suv",12700,14,16
"20","Subaru","black",159000,2013,2,"suv",16500,6,59
"21","Subaru","white",257495,2008,2.5,"universal",8700,10,13
"22","Subaru","silver",241402,2005,3,"suv",7500,18,188
"23","Subaru","black",188000,2006,3,"suv",8650,30,37
"24","Subaru","blue",240000,2001,2.5,"universal",3500,5,86
"25","Subaru","green",249448,2002,2.5,"universal",3800,12,67
"26","Subaru","other",250000,2007,3,"suv",7200,7,204
"27","Subaru","green",417000,1997,2,"universal",1850,18,71
"28","Subaru","violet",377000,1999,2.5,"universal",3800,12,21
"29","Subaru","black",300000,1999,2,"universal",3000,6,581
"30","Subaru","black",270000,2004,2,"sedan",6200,10,48
"31","Subaru","green",444444,1999,2,"universal",3700,6,60
"32","Subaru","black",299000,1994,2.2,"universal",650,9,85
"33","Subaru","violet",340000,1993,1.6,"universal",2000,4,91
"34","Subaru","black",123456,1991,2.2,"sedan",800,6,20
"35","Subaru","silver",118000,2011,2.5,"sedan",14950,26,174
"36","Subaru","black",246113,2008,1.5,"hatchback",5350,13,62
"37","Subaru","green",128748,2016,3.6,"universal",17059.12,24,15
"38","Subaru","red",100000,1994,2,"sedan",1700,6,91
"39","Subaru","blue",342790,1999,2.5,"universal",3500,14,70
"40","Subaru","silver",390000,1997,2,"suv",3000,8,46
"41","Subaru","black",215000,2008,2.5,"universal",8100,10,1
"42","Subaru","grey",288500,2006,2.5,"universal",8500,25,2
"43","Subaru","grey",225000,2005,3,"suv",7500,7,419
"44","Subaru","green",310000,2001,2.5,"liftback",3300,4,1
"45","Subaru","white",121000,2014,2,"suv",14950,16,109
"46","Subaru","blue",242000,2003,2.5,"suv",4490,16,10
"47","Subaru","green",286,1998,2.5,"universal",2650,11,2
"48","Subaru","grey",209000,2007,2,"sedan",6950,10,6
"49","Subaru","silver",195000,2006,3,"sedan",8200,12,15
"50","Subaru","black",126705,2014,2.5,"universal",16500,22,1
"51","Subaru","other",164153,2008,2.5,"universal",8500,8,1
"52","Subaru","blue",143000,2009,1.5,"hatchback",6450,12,11
"53","Subaru","white",463491,2002,2.5,"universal",3150,13,56
"54","Subaru","green",321869,1998,2.2,"universal",1900,11,54
